repo,file_path,lines_of_code,unique_authors_12m,dominant_author,dominant_author_share,bus_factor_single_dev,churn_12m,risk_score
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionParameterNumberTest.java,138,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionOuterTypeNumberTest.java,88,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionMethodLengthTest.java,144,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionMethodCountTest.java,198,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionLambdaBodyLengthTest.java,84,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionExecutableStatementCountTest.java,140,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/sizes/XpathRegressionAnonInnerLengthTest.java,106,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputFormattedOrderingAndSpacing3.java,83,1,Praveen Kumar,1.0,True,4,5
checkstyle,src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputFormattedOrderingAndSpacing2.java,67,1,Praveen Kumar,1.0,True,4,5
checkstyle,src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule331nowildcard/InputNoWildcardImports.java,70,1,Praveen Kumar,1.0,True,4,5
checkstyle,src/it/resources/com/google/checkstyle/test/chapter2filebasic/rule232specialescape/InputSpecialEscapeSequencesInTextBlockForOctalValues.java,253,1,Mohit Attry,1.0,True,261,5
checkstyle,src/it/resources/com/google/checkstyle/test/chapter2filebasic/rule232specialescape/InputSpecialEscapeSequences.java,157,1,Mohit Attry,1.0,True,24,5
