repo,repo_url,seed_category,activity_label,analysis_date_utc,repo_head_sha,file_path,file_language,absolute_path,lines_of_code,unique_authors_12m,repo_unique_authors_12m,repo_commits_12m,repo_commits_per_month_12m,churn_12m,added_lines_12m,deleted_lines_12m,bus_factor_single_dev,bus_factor_75_dominant_author,dominant_author,dominant_author_share,last_12m_observed_commits
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapSinglePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapSinglePerf.java,85,1,4,85,7.083333333333333,4,2,2,True,True,David Karnok,1.0,1
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableConcatMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapCompletablePerf.java,84,2,4,85,7.083333333333333,8,4,4,False,False,David Karnok,0.5,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableConcatMapMaybeEmptyPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybeEmptyPerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableConcatMapMaybePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybePerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableConcatMapSinglePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapSinglePerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapCompletablePerf.java,84,2,4,85,7.083333333333333,8,4,4,False,False,David Karnok,0.5,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybeEmptyPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybeEmptyPerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybePerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapSinglePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapSinglePerf.java,84,2,4,85,7.083333333333333,12,6,6,False,False,akarnokd,0.6666666666666666,2
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableSwitchMapCompletablePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapCompletablePerf.java,84,2,4,85,7.083333333333333,8,4,4,False,False,David Karnok,0.5,2
