project_key,file_path,sonar_complexity,sonar_ncloc,sonar_cognitive_complexity,sonar_comment_lines_density,sonar_reliability_rating,sonar_security_rating,sonar_sqale_rating,sonar_sqale_index,sonar_violations,sonar_code_smells,sonar_bugs,sonar_vulnerabilities,sonar_duplicated_blocks,sonar_duplicated_lines_density,sonar_test_success_density,repo,analysis_date_utc,repo_head_sha,sonar_host_url,sonar_project_key
guava,guava-tests/test/com/google/common/cache/ForwardingLoadingCacheTest.java,14,80,,8.0,1.0,1.0,1.0,8,3,3,,,2,68.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/LocalCacheMapComputeTest.java,43,168,6,6.1,1.0,1.0,1.0,70,14,14,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/LocalCacheTest.java,267,2639,163,4.4,4.0,1.0,1.0,158,27,19,8,,5,95.1,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/LocalLoadingCacheTest.java,19,278,6,5.4,1.0,1.0,1.0,15,4,4,,,1,87.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/NullCacheTest.java,8,92,,2.1,1.0,1.0,1.0,,,,,,1,70.1,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/PackageSanityTests.java,2,18,,10.0,1.0,1.0,1.0,,,,,,1,30.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/PopulatedCachesTest.java,45,294,35,10.6,1.0,1.0,1.0,12,4,4,,,1,86.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/ReflectionFreeAssertThrows.java,33,127,6,4.5,1.0,1.0,1.0,86,26,26,,,2,73.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/RemovalNotificationTest.java,1,16,,11.1,1.0,1.0,1.0,,,,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/TestingCacheLoaders.java,21,110,2,14.1,1.0,1.0,1.0,1,1,1,,,1,79.1,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
